Freq.	V(vout2)/(-V(verr2))
1.02329299228074e+06	(2.79243161554326e+01dB,-8.98567776996326e+01°)
1.04712854805089e+06	(2.77243311943909e+01dB,-8.98756703004344e+01°)
1.07151930523760e+06	(2.75243456632259e+01dB,-8.98944971553046e+01°)
1.09647819614317e+06	(2.73243595924656e+01dB,-8.99132682526895e+01°)
1.12201845430195e+06	(2.71243730114783e+01dB,-8.99319935523422e+01°)
1.14815362149687e+06	(2.69243859485335e+01dB,-8.99506829906325e+01°)
1.17489755493952e+06	(2.67243984308620e+01dB,-8.99693464858575e+01°)
1.20226443461740e+06	(2.65244104847095e+01dB,-8.99879939435140e+01°)
1.23026877081237e+06	(2.63244221353918e+01dB,-9.00066352615956e+01°)
1.25892541179416e+06	(2.61244334073465e+01dB,-9.00252803358601e+01°)
1.28824955169312e+06	(2.59244443241812e+01dB,-9.00439390652628e+01°)
1.31825673855639e+06	(2.57244549087233e+01dB,-9.00626213570997e+01°)
1.34896288259164e+06	(2.55244651830629e+01dB,-9.00813371324242e+01°)
1.38038426460287e+06	(2.53244751685995e+01dB,-9.01000963313562e+01°)
1.41253754462274e+06	(2.51244848860820e+01dB,-9.01189089184035e+01°)
1.44543977074591e+06	(2.49244943556505e+01dB,-9.01377848878645e+01°)
1.47910838816819e+06	(2.47245035968738e+01dB,-9.01567342691842e+01°)
1.51356124843619e+06	(2.45245126287876e+01dB,-9.01757671324194e+01°)
1.54881661891247e+06	(2.43245214699314e+01dB,-9.01948935936053e+01°)
1.58489319246110e+06	(2.41245301383786e+01dB,-9.02141238202619e+01°)
1.62181009735891e+06	(2.39245386517747e+01dB,-9.02334680369676e+01°)
1.65958690743754e+06	(2.37245470273650e+01dB,-9.02529365307799e+01°)
1.69824365246173e+06	(2.35245552820251e+01dB,-9.02725396569473e+01°)
1.73780082874936e+06	(2.33245634322902e+01dB,-9.02922878444580e+01°)
1.77827941003890e+06	(2.31245714943818e+01dB,-9.03121916017992e+01°)
1.81970085860996e+06	(2.29245794842336e+01dB,-9.03322615226229e+01°)
1.86208713666285e+06	(2.27245874175158e+01dB,-9.03525082916032e+01°)
1.90546071796323e+06	(2.25245953096582e+01dB,-9.03729426902381e+01°)
1.94984459975803e+06	(2.23246031758697e+01dB,-9.03935756028229e+01°)
1.99526231496886e+06	(2.21246110311623e+01dB,-9.04144180223824e+01°)
2.04173794466951e+06	(2.19246188903652e+01dB,-9.04354810567760e+01°)
2.08929613085402e+06	(2.17246267681448e+01dB,-9.04567759348179e+01°)
2.13796208950221e+06	(2.15246346790171e+01dB,-9.04783140124514e+01°)
2.18776162394953e+06	(2.13246426373632e+01dB,-9.05001067791376e+01°)
2.23872113856832e+06	(2.11246506574397e+01dB,-9.05221658641504e+01°)
2.29086765276775e+06	(2.09246587533877e+01dB,-9.05445030431120e+01°)
2.34422881531990e+06	(2.07246669392413e+01dB,-9.05671302445568e+01°)
2.39883291901946e+06	(2.05246752289311e+01dB,-9.05900595565941e+01°)
2.45470891568500e+06	(2.03246836362886e+01dB,-9.06133032337381e+01°)
2.51188643150955e+06	(2.01246921750446e+01dB,-9.06368737037506e+01°)
2.57039578276884e+06	(1.99247008588277e+01dB,-9.06607835747042e+01°)
