Freq.	V(vout)/(-V(vn))
3.16227766016844e+05	(2.15362941554946e+01dB,-1.13473299365386e+02°)
3.31131121482598e+05	(2.10892560124917e+01dB,-1.14501598011860e+02°)
3.46736850452539e+05	(2.06382688267109e+01dB,-1.15567811731409e+02°)
3.63078054770109e+05	(2.01830543309084e+01dB,-1.16672444091806e+02°)
3.80189396320569e+05	(1.97233237465336e+01dB,-1.17815889697090e+02°)
3.98107170553505e+05	(1.92587789526191e+01dB,-1.18998420544452e+02°)
4.16869383470344e+05	(1.87891139552662e+01dB,-1.20220172255101e+02°)
4.36515832240175e+05	(1.83140166773350e+01dB,-1.21481130427733e+02°)
4.57088189614884e+05	(1.78331710823761e+01dB,-1.22781117400128e+02°)
4.78630092322648e+05	(1.73462596396246e+01dB,-1.24119779736545e+02°)
5.01187233627283e+05	(1.68529661280362e+01dB,-1.25496576782703e+02°)
5.24807460249784e+05	(1.63529787670404e+01dB,-1.26910770643350e+02°)
5.49540873857636e+05	(1.58459936501987e+01dB,-1.28361417936204e+02°)
5.75439937337169e+05	(1.53317184457449e+01dB,-1.29847363657751e+02°)
6.02559586074371e+05	(1.48098763156531e+01dB,-1.31367237458549e+02°)
6.30957344480207e+05	(1.42802099931814e+01dB,-1.32919452567064e+02°)
6.60693448007610e+05	(1.37424859486266e+01dB,-1.34502207521728e+02°)
6.91830970918951e+05	(1.31964985651972e+01dB,-1.36113490772566e+02°)
7.24435960075006e+05	(1.26420742423479e+01dB,-1.37751088099963e+02°)
7.58577575029200e+05	(1.20790753433668e+01dB,-1.39412592674342e+02°)
7.94328234724299e+05	(1.15074039080183e+01dB,-1.41095417453946e+02°)
8.31763771102689e+05	(1.09270050598719e+01dB,-1.42796809496883e+02°)
8.70963589956100e+05	(1.03378700514752e+01dB,-1.44513865657453e+02°)
9.12010839355930e+05	(9.74003890826797e+00dB,-1.46243549054674e+02°)
9.54992586021457e+05	(9.13360265316592e+00dB,-1.47982705651292e+02°)
1.00000000000002e+06	(8.51870511684418e+00dB,-1.49728080271317e+02°)
1.04712854805092e+06	(7.89554436238792e+00dB,-1.51476331417871e+02°)
1.09647819614321e+06	(7.26437377549122e+00dB,-1.53224044332886e+02°)
1.14815362149691e+06	(6.62550289106447e+00dB,-1.54967741865093e+02°)
1.20226443461744e+06	(5.97929804233802e+00dB,-1.56703892879056e+02°)
1.25892541179420e+06	(5.32618292790643e+00dB,-1.58428918139673e+02°)
1.31825673855644e+06	(4.66663919449412e+00dB,-1.60139193835311e+02°)
1.38038426460292e+06	(4.00120712771602e+00dB,-1.61831053148817e+02°)
1.44543977074596e+06	(3.33048652925813e+00dB,-1.63500786538304e+02°)
1.51356124843624e+06	(2.65513783654427e+00dB,-1.65144641637224e+02°)
1.58489319246115e+06	(1.97588351020787e+00dB,-1.66758823913654e+02°)
1.65958690743760e+06	(1.29350967595557e+00dB,-1.68339499429119e+02°)
1.73780082874942e+06	(6.08867961370339e-01dB,-1.69882801193854e+02°)
1.81970085861003e+06	(-7.71225841494398e-02dB,-1.71384840713156e+02°)
1.90546071796329e+06	(-7.63473655394547e-01dB,-1.72841726341930e+02°)
1.99526231496893e+06	(-1.44912617265073e+00dB,-1.74249589993475e+02°)
2.08929613085409e+06	(-2.13294936831034e+00dB,-1.75604623564984e+02°)
2.18776162394960e+06	(-2.81374082624544e+00dB,-1.76903126126761e+02°)
2.29086765276783e+06	(-3.49022787095132e+00dB,-1.78141562457990e+02°)
2.39883291901955e+06	(-4.16107073913122e+00dB,-1.79316632887355e+02°)
2.51188643150964e+06	(-4.82486798087018e+00dB,1.79574646389388e+02°)
2.63026799189544e+06	(-5.48016452249710e+00dB,1.78534854276196e+02°)
2.75422870333823e+06	(-6.12546276988640e+00dB,1.77566069833340e+02°)
2.88403150312667e+06	(-6.75923703122719e+00dB,1.76669775319529e+02°)
3.01995172040209e+06	(-7.37995138645303e+00dB,1.75846762156223e+02°)
3.16227766016845e+06	(-7.98608092532292e+00dB,1.75097045616680e+02°)
3.31131121482599e+06	(-8.57613602311394e+00dB,1.74419794586053e+02°)
3.46736850452540e+06	(-9.14868903638579e+00dB,1.73813282808712e+02°)
3.63078054770110e+06	(-9.70240250546965e+00dB,1.73274867504683e+02°)
