Freq.	V(vout)/(-V(vn))
1.44543977074594e+03	(6.94457918681066e+01dB,-8.88755312203960e+01°)
1.51356124843623e+03	(6.90459676355397e+01dB,-8.89361298874811e+01°)
1.58489319246113e+03	(6.86461277233439e+01dB,-8.89944747588249e+01°)
1.65958690743758e+03	(6.82462734888467e+01dB,-8.90506892282418e+01°)
1.73780082874940e+03	(6.78464061680726e+01dB,-8.91048922173149e+01°)
1.81970085861001e+03	(6.74465268861890e+01dB,-8.91571984218977e+01°)
1.90546071796327e+03	(6.70466366670188e+01dB,-8.92077185498679e+01°)
1.99526231496890e+03	(6.66467364416989e+01dB,-8.92565595516926e+01°)
2.08929613085406e+03	(6.62468270565575e+01dB,-8.93038248429512e+01°)
2.18776162394958e+03	(6.58469092802766e+01dB,-8.93496145204432e+01°)
2.29086765276780e+03	(6.54469838103981e+01dB,-8.93940255713251e+01°)
2.39883291901952e+03	(6.50470512792299e+01dB,-8.94371520762936e+01°)
2.51188643150961e+03	(6.46471122592004e+01dB,-8.94790854067139e+01°)
2.63026799189541e+03	(6.42471672677077e+01dB,-8.95199144164519e+01°)
2.75422870333820e+03	(6.38472167715020e+01dB,-8.95597256287179e+01°)
2.88403150312664e+03	(6.34472611906411e+01dB,-8.95986034177625e+01°)
3.01995172040205e+03	(6.30473009020501e+01dB,-8.96366301868247e+01°)
3.16227766016842e+03	(6.26473362427152e+01dB,-8.96738865414886e+01°)
3.31131121482595e+03	(6.22473675125413e+01dB,-8.97104514597404e+01°)
3.46736850452536e+03	(6.18473949768934e+01dB,-8.97464024585817e+01°)
3.63078054770106e+03	(6.14474188688467e+01dB,-8.97818157575510e+01°)
3.80189396320566e+03	(6.10474393911634e+01dB,-8.98167664398503e+01°)
3.98107170553503e+03	(6.06474567180108e+01dB,-8.98513286107958e+01°)
4.16869383470341e+03	(6.02474709964394e+01dB,-8.98855755545598e+01°)
4.36515832240172e+03	(5.98474823476290e+01dB,-8.99195798890382e+01°)
4.57088189614881e+03	(5.94474908679167e+01dB,-8.99534137194536e+01°)
4.78630092322645e+03	(5.90474966296146e+01dB,-8.99871487908605e+01°)
5.01187233627279e+03	(5.86474996816217e+01dB,-9.00208566398634e+01°)
5.24807460249780e+03	(5.82475000498397e+01dB,-9.00546087460787e+01°)
5.49540873857632e+03	(5.78474977373922e+01dB,-9.00884766833376e+01°)
5.75439937337165e+03	(5.74474927246514e+01dB,-9.01225322711062e+01°)
6.02559586074366e+03	(5.70474849690711e+01dB,-9.01568477265001e+01°)
6.30957344480202e+03	(5.66474744048264e+01dB,-9.01914958171060e+01°)
6.60693448007605e+03	(5.62474609422546e+01dB,-9.02265500148955e+01°)
6.91830970918946e+03	(5.58474444670952e+01dB,-9.02620846517387e+01°)
7.24435960075000e+03	(5.54474248395208e+01dB,-9.02981750765660e+01°)
7.58577575029195e+03	(5.50474018929506e+01dB,-9.03348978147699e+01°)
7.94328234724293e+03	(5.46473754326383e+01dB,-9.03723307299713e+01°)
8.31763771102683e+03	(5.42473452340199e+01dB,-9.04105531886145e+01°)
8.70963589956093e+03	(5.38473110408095e+01dB,-9.04496462276627e+01°)
9.12010839355923e+03	(5.34472725628266e+01dB,-9.04896927257853e+01°)
9.54992586021450e+03	(5.30472294735349e+01dB,-9.05307775782989e+01°)
1.00000000000001e+04	(5.26471814072747e+01dB,-9.05729878763298e+01°)
1.04712854805092e+04	(5.22471279561625e+01dB,-9.06164130904989e+01°)
1.09647819614320e+04	(5.18470686666339e+01dB,-9.06611452594838e+01°)
1.14815362149690e+04	(5.14470030355994e+01dB,-9.07072791838566e+01°)
1.20226443461743e+04	(5.10469305061816e+01dB,-9.07549126256125e+01°)
1.25892541179419e+04	(5.06468504629962e+01dB,-9.08041465137528e+01°)
1.31825673855643e+04	(5.02467622269397e+01dB,-9.08550851562551e+01°)
1.38038426460291e+04	(4.98466650494369e+01dB,-9.09078364590170e+01°)
1.44543977074595e+04	(4.94465581061026e+01dB,-9.09625121520008e+01°)
1.51356124843623e+04	(4.90464404897614e+01dB,-9.10192280231352e+01°)
1.58489319246114e+04	(4.86463112027708e+01dB,-9.10781041603406e+01°)
1.65958690743759e+04	(4.82461691485785e+01dB,-9.11392652021799e+01°)
1.73780082874940e+04	(4.78460131224469e+01dB,-9.12028405975539e+01°)
1.81970085861001e+04	(4.74458418012662e+01dB,-9.12689648748709e+01°)
1.90546071796328e+04	(4.70456537323695e+01dB,-9.13377779212563e+01°)
1.99526231496891e+04	(4.66454473212584e+01dB,-9.14094252721671e+01°)
2.08929613085407e+04	(4.62452208181365e+01dB,-9.14840584119819e+01°)
2.18776162394959e+04	(4.58449723031376e+01dB,-9.15618350859739e+01°)
2.29086765276781e+04	(4.54446996701271e+01dB,-9.16429196242073e+01°)
2.39883291901953e+04	(4.50444006089433e+01dB,-9.17274832778327e+01°)
2.51188643150962e+04	(4.46440725859290e+01dB,-9.18157045682047e+01°)
2.63026799189542e+04	(4.42437128225965e+01dB,-9.19077696493967e+01°)
2.75422870333821e+04	(4.38433182722478e+01dB,-9.20038726844804e+01°)
2.88403150312665e+04	(4.34428855943607e+01dB,-9.21042162360678e+01°)
3.01995172040207e+04	(4.30424111265303e+01dB,-9.22090116715510e+01°)
3.16227766016843e+04	(4.26418908537389e+01dB,-9.23184795833654e+01°)
3.31131121482597e+04	(4.22413203747044e+01dB,-9.24328502247589e+01°)
3.46736850452537e+04	(4.18406948650377e+01dB,-9.25523639612685e+01°)
3.63078054770107e+04	(4.14400090369125e+01dB,-9.26772717382448e+01°)
3.80189396320568e+04	(4.10392570949261e+01dB,-9.28078355645989e+01°)
3.98107170553504e+04	(4.06384326878038e+01dB,-9.29443290128705e+01°)
4.16869383470342e+04	(4.02375288555640e+01dB,-9.30870377356841e+01°)
4.36515832240173e+04	(3.98365379717346e+01dB,-9.32362599984635e+01°)
4.57088189614883e+04	(3.94354516801722e+01dB,-9.33923072281664e+01°)
4.78630092322647e+04	(3.90342608260008e+01dB,-9.35555045776997e+01°)
5.01187233627281e+04	(3.86329553801455e+01dB,-9.37261915053899e+01°)
5.24807460249782e+04	(3.82315243568969e+01dB,-9.39047223687201e+01°)
5.49540873857634e+04	(3.78299557238947e+01dB,-9.40914670312867e+01°)
5.75439937337167e+04	(3.74282363038765e+01dB,-9.42868114816334e+01°)
6.02559586074368e+04	(3.70263516674844e+01dB,-9.44911584622200e+01°)
6.30957344480204e+04	(3.66242860163754e+01dB,-9.47049281064775e+01°)
6.60693448007608e+04	(3.62220220558271e+01dB,-9.49285585813745e+01°)
6.91830970918949e+04	(3.58195408559801e+01dB,-9.51625067324018e+01°)
7.24435960075003e+04	(3.54168217008011e+01dB,-9.54072487273116e+01°)
7.58577575029197e+04	(3.50138419238015e+01dB,-9.56632806942438e+01°)
7.94328234724296e+04	(3.46105767294938e+01dB,-9.59311193490728e+01°)
8.31763771102686e+04	(3.42069989995182e+01dB,-9.62113026059587e+01°)
8.70963589956096e+04	(3.38030790823322e+01dB,-9.65043901640590e+01°)
9.12010839355926e+04	(3.33987845653123e+01dB,-9.68109640622512e+01°)
9.54992586021453e+04	(3.29940800280963e+01dB,-9.71316291924217e+01°)
1.00000000000002e+05	(3.25889267759732e+01dB,-9.74670137604924e+01°)
1.04712854805092e+05	(3.21832825521304e+01dB,-9.78177696827617e+01°)
1.09647819614321e+05	(3.17771012275871e+01dB,-9.81845729033876e+01°)
